timestamp,date,hour_utc,minute,outcome,up_price,down_price,btc_open,btc_close,btc_change_pct
1772886900,2026-03-07,12,35,down,0.0,1.0,68034.3,68005.64,-0.0421
1772887200,2026-03-07,12,40,down,0.0,1.0,68005.63,67937.64,-0.1
1772887500,2026-03-07,12,45,down,0.0,1.0,67937.64,67940.86,0.0047
1772887800,2026-03-07,12,50,up,1.0,0.0,67940.86,68019.54,0.1158
1772888100,2026-03-07,12,55,down,0.0,1.0,68019.53,67992.54,-0.0397
1772888400,2026-03-07,13,0,up,1.0,0.0,67992.54,68062.57,0.103
1772888700,2026-03-07,13,5,down,0.0,1.0,68062.58,68016.76,-0.0673
1772889000,2026-03-07,13,10,up,1.0,0.0,68016.77,68038.7,0.0322
1772889300,2026-03-07,13,15,down,0.0,1.0,68038.69,67978.1,-0.0891
1772889600,2026-03-07,13,20,up,1.0,0.0,67978.09,68001.42,0.0343
1772889900,2026-03-07,13,25,down,0.0,1.0,68001.42,67992.43,-0.0132
1772890200,2026-03-07,13,30,down,0.0,1.0,67992.43,67964.01,-0.0418
1772890500,2026-03-07,13,35,down,0.0,1.0,67964.0,67891.2,-0.1071
1772890800,2026-03-07,13,40,down,0.0,1.0,67891.2,67879.66,-0.017
1772891100,2026-03-07,13,45,up,1.0,0.0,67879.66,67918.26,0.0569
1772891400,2026-03-07,13,50,up,1.0,0.0,67918.26,67943.14,0.0366
1772891700,2026-03-07,13,55,down,0.0,1.0,67943.14,67931.06,-0.0178
1772892000,2026-03-07,14,0,down,0.0,1.0,67931.06,67849.38,-0.1202
1772892300,2026-03-07,14,5,down,0.0,1.0,67849.38,67701.0,-0.2187
1772892600,2026-03-07,14,10,up,1.0,0.0,67701.0,67748.01,0.0694
1772892900,2026-03-07,14,15,up,1.0,0.0,67748.0,67782.73,0.0513
1772893200,2026-03-07,14,20,up,1.0,0.0,67782.73,67794.8,0.0178
1772893500,2026-03-07,14,25,up,1.0,0.0,67794.81,67807.42,0.0186
1772893800,2026-03-07,14,30,up,1.0,0.0,67807.42,67818.24,0.016
1772894100,2026-03-07,14,35,up,1.0,0.0,67818.25,68061.31,0.3584
1772894400,2026-03-07,14,40,down,0.0,1.0,68061.32,68016.77,-0.0655
1772894700,2026-03-07,14,45,up,1.0,0.0,68016.77,68042.69,0.0381
1772895000,2026-03-07,14,50,up,1.0,0.0,68042.69,68046.05,0.0049
1772895300,2026-03-07,14,55,down,0.0,1.0,68046.05,68016.7,-0.0431
1772895600,2026-03-07,15,0,down,0.0,1.0,68016.7,67994.35,-0.0329
1772895900,2026-03-07,15,5,up,1.0,0.0,67994.34,67988.83,-0.0081
1772896200,2026-03-07,15,10,down,0.0,1.0,67988.83,67920.17,-0.101
1772896500,2026-03-07,15,15,down,0.0,1.0,67920.18,67916.75,-0.0051
1772896800,2026-03-07,15,20,up,1.0,0.0,67916.74,67958.46,0.0614
1772897100,2026-03-07,15,25,down,0.0,1.0,67958.45,67962.07,0.0053
1772897400,2026-03-07,15,30,up,1.0,0.0,67962.06,67994.48,0.0477
1772897700,2026-03-07,15,35,down,0.0,1.0,67994.48,67822.86,-0.2524
1772898000,2026-03-07,15,40,up,1.0,0.0,67822.86,67824.68,0.0027
1772898300,2026-03-07,15,45,up,1.0,0.0,67824.68,67826.65,0.0029
1772898600,2026-03-07,15,50,up,1.0,0.0,67827.31,67897.99,0.1042
1772898900,2026-03-07,15,55,down,0.0,1.0,67897.99,67877.45,-0.0303
1772899200,2026-03-07,16,0,down,0.0,1.0,67877.45,67841.27,-0.0533
1772899500,2026-03-07,16,5,up,1.0,0.0,67841.27,67871.35,0.0443
1772899800,2026-03-07,16,10,up,1.0,0.0,67871.35,67879.57,0.0121
1772900100,2026-03-07,16,15,down,0.0,1.0,67879.57,67779.29,-0.1477
1772900400,2026-03-07,16,20,down,0.0,1.0,67779.28,67772.0,-0.0107
1772900700,2026-03-07,16,25,down,0.0,1.0,67771.99,67772.22,0.0003
1772901000,2026-03-07,16,30,up,1.0,0.0,67772.23,67785.54,0.0196
1772901300,2026-03-07,16,35,down,0.0,1.0,67785.53,67779.34,-0.0091
1772901600,2026-03-07,16,40,up,1.0,0.0,67779.35,67788.22,0.0131
1772901900,2026-03-07,16,45,up,1.0,0.0,67788.21,67791.0,0.0041
1772902200,2026-03-07,16,50,up,1.0,0.0,67791.01,67794.4,0.005
1772902500,2026-03-07,16,55,down,0.0,1.0,67794.4,67783.63,-0.0159
1772902800,2026-03-07,17,0,up,1.0,0.0,67783.63,67845.49,0.0913
1772903100,2026-03-07,17,5,down,0.0,1.0,67845.49,67845.48,-0.0
1772903400,2026-03-07,17,10,down,0.0,1.0,67845.48,67838.59,-0.0102
1772903700,2026-03-07,17,15,down,0.0,1.0,67838.58,67825.55,-0.0192
1772904000,2026-03-07,17,20,up,1.0,0.0,67825.55,67901.97,0.1127
1772904300,2026-03-07,17,25,down,0.0,1.0,67901.97,67882.83,-0.0282
1772904600,2026-03-07,17,30,down,0.0,1.0,67882.83,67872.01,-0.0159
